cell_id,x,y,cell_type_annotation,niche_annotation
2114,18165,85732,CD4 T cell,B cell Zone
2115,19221,85726,CD4 T cell,B cell Zone
2116,19520,85733,unknown,B cell Zone
2117,20660,85725,follicular dendritic cell,T cell Zone
2118,19324,85728,Memory B cell,B cell Zone
2119,19921,85734,Memory B cell,B cell Zone
2120,20934,85740,T-zone reticular cell,T cell Zone
2121,18624,85736,unknown,B cell Zone
2122,18819,85723,follicular dendritic cell,B cell Zone
2123,21159,85729,macrophage,T cell Zone
2124,18541,85716,Memory B cell,B cell Zone
2125,19446,85729,unknown,B cell Zone
2126,21198,85713,CD8 T cell,T cell Zone
2127,19063,85738,unknown,B cell Zone
2128,19112,85718,Memory B cell,B cell Zone
2129,20205,85717,Memory B cell,T cell Zone
2130,21105,85723,CD4 T cell,T cell Zone
2131,21910,85733,T-zone reticular cell,T cell Zone
2132,18086,85722,CD4 T cell,B cell Zone
2133,19136,85698,Memory B cell,B cell Zone
2134,21324,85727,CD4 T cell,T cell Zone
2135,20251,85700,Memory B cell,B cell Zone
2136,20414,85708,CD8 T cell,T cell Zone
2137,19778,85700,CD4 T cell,B cell Zone
2138,22329,85682,macrophage,T cell Zone
2139,19375,85699,macrophage,B cell Zone
2140,20704,85704,CD4 T cell,T cell Zone
2141,21886,85701,macrophage,T cell Zone
2142,22205,85683,endothelial cell,T cell Zone
2143,18489,85698,unknown,B cell Zone
2144,19495,85696,unknown,B cell Zone
2145,19605,85697,Memory B cell,B cell Zone
2146,21827,85700,T-zone reticular cell,T cell Zone
2147,20334,85682,Memory B cell,T cell Zone
2148,22022,85696,endothelial cell,T cell Zone
2149,18647,85691,macrophage,B cell Zone
2150,18717,85703,CD4 T cell,B cell Zone
2151,20098,85704,Memory B cell,T cell Zone
2152,18320,85703,Naive B cell,B cell Zone
2153,18417,85700,Memory B cell,B cell Zone
2154,20490,85710,Memory B cell,T cell Zone
2155,21712,85695,T-zone reticular cell,T cell Zone
2156,20519,85680,macrophage,T cell Zone
2157,20752,85696,macrophage,T cell Zone
2158,21385,85688,CD4 T cell,T cell Zone
2159,21604,85687,macrophage,T cell Zone
2160,18599,85690,Memory B cell,B cell Zone
2161,19702,85689,Memory B cell,B cell Zone
2162,19858,85675,Memory B cell,B cell Zone
2163,20800,85699,unknown,T cell Zone
2164,21780,85688,CD4 T cell,T cell Zone
2165,20946,85690,T-zone reticular cell,T cell Zone
2166,22109,85683,unknown,T cell Zone
2167,19020,85700,Memory B cell,B cell Zone
2168,21070,85690,macrophage,T cell Zone
2169,19057,85675,unknown,B cell Zone
2170,21935,85667,macrophage,T cell Zone
2171,22072,85678,CD4 T cell,T cell Zone
2172,21256,85674,Memory B cell,T cell Zone
2173,21547,85641,plasma cell,T cell Zone
2174,21858,85656,macrophage,T cell Zone
2175,19933,85678,Naive B cell,B cell Zone
2176,20874,85666,follicular dendritic cell,T cell Zone
2177,21344,85661,plasma cell,T cell Zone
2178,18165,85703,Memory B cell,B cell Zone
2179,20668,85673,Naive B cell,T cell Zone
2180,18183,85670,macrophage,B cell Zone
2181,19563,85671,unknown,B cell Zone
2182,19337,85642,follicular dendritic cell,B cell Zone
2183,19084,85659,unknown,B cell Zone
2184,20177,85644,Memory B cell,T cell Zone
2185,20278,85668,unknown,T cell Zone
2186,18436,85655,Naive B cell,B cell Zone
2187,19429,85667,unknown,B cell Zone
2188,18337,85664,Naive B cell,B cell Zone
2189,18808,85649,macrophage,B cell Zone
2190,22302,85643,macrophage,T cell Zone
2191,21499,85656,Memory B cell,T cell Zone
2192,18737,85642,macrophage,B cell Zone
2193,19798,85662,Naive B cell,B cell Zone
2194,19009,85656,interferon-stimulated cell,B cell Zone
2195,18266,85643,macrophage,B cell Zone
2196,20594,85648,macrophage,T cell Zone
2197,18550,85645,macrophage,B cell Zone
2198,19212,85630,CD4 T cell,B cell Zone
2199,19646,85624,macrophage,B cell Zone
2200,20751,85643,macrophage,T cell Zone
2201,22148,85644,CD4 T cell,T cell Zone
2202,18672,85644,Memory B cell,B cell Zone
2203,20051,85623,Memory B cell,B cell Zone
2204,20100,85644,Memory B cell,B cell Zone
2205,20638,85657,follicular dendritic cell,T cell Zone
2206,18384,85655,unknown,B cell Zone
2207,18936,85659,interferon-stimulated cell,B cell Zone
2208,21168,85644,macrophage,T cell Zone
2209,22254,85637,macrophage,T cell Zone
2210,20828,85625,macrophage,T cell Zone
2211,21664,85646,dendritic cell,T cell Zone
2212,21676,85616,macrophage,T cell Zone
2213,18486,85623,CD4 T cell,B cell Zone
2214,19459,85626,unknown,B cell Zone
2215,19789,85622,CD4 T cell,B cell Zone
2216,20683,85643,macrophage,T cell Zone
2217,21437,85644,T-zone reticular cell,T cell Zone
2218,21731,85608,macrophage,T cell Zone
2219,21974,85619,endothelial cell,T cell Zone
2220,18882,85645,Memory B cell,B cell Zone
2221,21583,85609,plasma cell,T cell Zone
2222,20415,85622,T-zone reticular cell,T cell Zone
2223,21120,85639,macrophage,T cell Zone
2224,18620,85621,Memory B cell,B cell Zone
2225,19936,85635,unknown,B cell Zone
2226,20268,85611,Memory B cell,T cell Zone
2227,18992,85619,CD4 T cell,B cell Zone
2228,19933,85600,Memory B cell,B cell Zone
2229,21821,85623,macrophage,T cell Zone
2230,19304,85607,Naive B cell,B cell Zone
2231,21071,85613,follicular dendritic cell,T cell Zone
2232,18344,85608,unknown,B cell Zone
2233,18171,85588,T-zone reticular cell,B cell Zone
2234,19716,85600,Memory B cell,B cell Zone
2235,18858,85605,Memory B cell,B cell Zone
2236,19232,85601,unknown,B cell Zone
2237,20520,85595,macrophage,T cell Zone
2238,19998,85588,Naive B cell,B cell Zone
2239,18067,85560,Naive B cell,B cell Zone
2240,18951,85572,CD4 T cell,B cell Zone
2241,19542,85595,unknown,B cell Zone
2242,20144,85561,Memory B cell,B cell Zone
2243,20971,85602,T-zone reticular cell,T cell Zone
2244,21224,85591,CD8 T cell,T cell Zone
2245,18585,85589,Memory B cell,B cell Zone
2246,19851,85569,macrophage,B cell Zone
2247,21280,85582,follicular dendritic cell,T cell Zone
2248,18533,85602,Memory B cell,B cell Zone
2249,18679,85595,unknown,B cell Zone
2250,20758,85587,macrophage,T cell Zone
2251,18255,85580,Memory B cell,B cell Zone
2252,18419,85589,Memory B cell,B cell Zone
2253,18705,85584,Memory B cell,B cell Zone
2254,18811,85584,Memory B cell,B cell Zone
2255,20351,85600,Memory B cell,T cell Zone
2256,21450,85578,plasma cell,T cell Zone
2257,21366,85589,plasma cell,T cell Zone
2258,21800,85590,CD4 T cell,T cell Zone
2259,20617,85568,CD4 T cell,T cell Zone
2260,20892,85587,T-zone reticular cell,T cell Zone
2261,20692,85575,follicular dendritic cell,T cell Zone
2262,22190,85574,macrophage,T cell Zone
2263,18784,85563,Naive B cell,B cell Zone
2264,22016,85584,endothelial cell,T cell Zone
2265,20298,85560,macrophage,T cell Zone
2266,20462,85567,follicular dendritic cell,T cell Zone
2267,22293,85584,plasma cell,T cell Zone
2268,18446,85565,Memory B cell,B cell Zone
2269,22264,85571,CD8 T cell,T cell Zone
2270,18146,85579,macrophage,B cell Zone
2271,18324,85567,Naive B cell,B cell Zone
2272,21011,85552,follicular dendritic cell,T cell Zone
2273,21855,85557,dendritic cell,T cell Zone
2274,18511,85556,Memory B cell,B cell Zone
2275,18718,85564,Naive B cell,B cell Zone
2276,21122,85531,follicular dendritic cell,T cell Zone
2277,18629,85549,Naive B cell,B cell Zone
2278,19690,85542,Memory B cell,B cell Zone
2279,19772,85562,CD4 T cell,B cell Zone
2280,20372,85541,Memory B cell,T cell Zone
2281,20416,85532,CD4 T cell,B cell Zone
2282,19406,85542,Naive B cell,B cell Zone
2283,19500,85538,CD4 T cell,B cell Zone
2284,20549,85539,Memory B cell,B cell Zone
2285,21035,85530,CD4 T cell,T cell Zone
2286,21589,85541,T-zone reticular cell,T cell Zone
2287,21693,85543,T-zone reticular cell,T cell Zone
2288,18353,85527,T-zone reticular cell,B cell Zone
2289,22091,85539,T-zone reticular cell,T cell Zone
2290,21375,85517,plasma cell,T cell Zone
2291,21807,85527,dendritic cell,T cell Zone
2292,20878,85524,macrophage,T cell Zone
2293,18558,85533,Memory B cell,B cell Zone
2294,18769,85534,Naive B cell,B cell Zone
2295,19573,85529,CD4 T cell,B cell Zone
2296,19790,85517,Memory B cell,B cell Zone
2297,18282,85520,Naive B cell,B cell Zone
2298,21755,85517,macrophage,T cell Zone
2299,18397,85522,Memory B cell,B cell Zone
2300,18848,85528,CD4 T cell,B cell Zone
2301,20955,85521,follicular dendritic cell,T cell Zone
2302,21501,85531,macrophage,T cell Zone
2303,18744,85505,Memory B cell,B cell Zone
2304,19010,85512,Memory B cell,B cell Zone
2305,20469,85528,Naive B cell,B cell Zone
2306,21981,85499,endothelial cell,T cell Zone
2307,19042,85528,follicular dendritic cell,B cell Zone
2308,20514,85508,Memory B cell,B cell Zone
2309,18201,85517,Memory B cell,B cell Zone
2310,21895,85525,endothelial cell,T cell Zone
2311,21955,85531,endothelial cell,T cell Zone
2312,19738,85523,CD4 T cell,B cell Zone
2313,20122,85513,Memory B cell,B cell Zone
2314,19344,85498,macrophage,B cell Zone
2315,20591,85498,Memory B cell,B cell Zone
2316,22163,85508,unknown,T cell Zone
2317,22259,85505,T-zone reticular cell,T cell Zone
2318,19077,85510,Naive B cell,B cell Zone
2319,20052,85510,Memory B cell,B cell Zone
2320,18459,85497,Memory B cell,B cell Zone
2321,20687,85493,macrophage,T cell Zone
2322,18644,85493,Naive B cell,B cell Zone
2323,18946,85484,CD4 T cell,B cell Zone
2324,21634,85508,T-zone reticular cell,T cell Zone
2325,19157,85500,Memory B cell,B cell Zone
2326,18518,85497,Memory B cell,B cell Zone
2327,19906,85503,CD8 T cell,B cell Zone
2328,19248,85488,Memory B cell,B cell Zone
2329,21292,85474,plasma cell,T cell Zone
2330,18164,85472,macrophage,B cell Zone
2331,21460,85485,T-zone reticular cell,T cell Zone
2332,18576,85488,Memory B cell,B cell Zone
2333,22099,85489,unknown,T cell Zone
2334,20231,85484,Memory B cell,B cell Zone
2335,21705,85488,follicular dendritic cell,T cell Zone
2336,22040,85487,CD4 T cell,T cell Zone
2337,19113,85482,Memory B cell,B cell Zone
2338,19412,85473,CD4 T cell,B cell Zone
2339,19454,85471,Memory B cell,B cell Zone
2340,21239,85475,follicular dendritic cell,T cell Zone
2341,19594,85482,CD4 T cell,B cell Zone
2342,20847,85477,follicular dendritic cell,T cell Zone
2343,22220,85470,macrophage,T cell Zone
2344,18279,85475,Memory B cell,B cell Zone
2345,18877,85463,Memory B cell,B cell Zone
2346,21558,85478,T-zone reticular cell,T cell Zone
2347,19965,85492,Naive B cell,B cell Zone
2348,20347,85489,Memory B cell,T cell Zone
2349,20467,85467,Memory B cell,T cell Zone
2350,19881,85474,Memory B cell,B cell Zone
2351,19824,85475,Memory B cell,B cell Zone
2352,18372,85462,Memory B cell,B cell Zone
2353,18783,85463,CD4 T cell,B cell Zone
2354,19516,85454,Memory B cell,B cell Zone
2355,20372,85450,macrophage,B cell Zone
2356,21836,85468,CD4 T cell,T cell Zone
2357,21178,85455,Memory B cell,T cell Zone
2358,20611,85457,follicular dendritic cell,T cell Zone
2359,21055,85458,CD4 T cell,T cell Zone
2360,21509,85463,T-zone reticular cell,T cell Zone
2361,21902,85474,unknown,T cell Zone
2362,20038,85458,Memory B cell,B cell Zone
2363,21416,85448,NK cell,T cell Zone
2364,18535,85466,unknown,B cell Zone
2365,20715,85454,macrophage,T cell Zone
2366,22013,85457,Memory B cell,T cell Zone
2367,22160,85445,T-zone reticular cell,T cell Zone
2368,18705,85459,Memory B cell,B cell Zone
2369,21670,85453,unknown,T cell Zone
2370,19718,85457,Memory B cell,B cell Zone
2371,21356,85442,plasma cell,T cell Zone
2372,18989,85418,Memory B cell,B cell Zone
2373,18466,85447,CD8 T cell,B cell Zone
2374,19040,85405,Memory B cell,B cell Zone
2375,21613,85442,follicular dendritic cell,T cell Zone
2376,22315,85457,macrophage,T cell Zone
2377,19332,85441,Memory B cell,B cell Zone
2378,20123,85441,Memory B cell,B cell Zone
2379,18612,85423,Memory B cell,B cell Zone
2380,21906,85446,unknown,T cell Zone
2381,22288,85435,unknown,T cell Zone
2382,19156,85428,Memory B cell,B cell Zone
2383,20212,85436,Memory B cell,B cell Zone
2384,22074,85433,T-zone reticular cell,T cell Zone
2385,18269,85438,GC B LZ,B cell Zone
2386,18695,85435,Memory B cell,B cell Zone
2387,19103,85419,Memory B cell,B cell Zone
2388,19601,85436,Memory B cell,B cell Zone
2389,19951,85421,Memory B cell,B cell Zone
2390,21710,85419,unknown,T cell Zone
2391,20931,85437,macrophage,T cell Zone
2392,20996,85434,macrophage,T cell Zone
2393,18395,85426,Memory B cell,B cell Zone
2394,19041,85438,unknown,B cell Zone
2395,21113,85410,T-zone reticular cell,T cell Zone
2396,20464,85399,macrophage,B cell Zone
2397,18203,85419,Memory B cell,B cell Zone
2398,19821,85421,plasma cell,B cell Zone
2399,20811,85416,macrophage,T cell Zone
2400,21854,85422,unknown,T cell Zone
2401,21944,85414,unknown,T cell Zone
2402,18534,85423,unknown,B cell Zone
2403,20451,85429,unknown,T cell Zone
2404,19279,85436,unknown,B cell Zone
2405,19205,85395,unknown,B cell Zone
2406,19690,85418,Memory B cell,B cell Zone
2407,18451,85408,CD4 T cell,B cell Zone
2408,19753,85392,macrophage,B cell Zone
2409,20091,85409,CD4 T cell,B cell Zone
2410,21606,85386,dendritic cell,T cell Zone
2411,18153,85420,unknown,B cell Zone
2412,20541,85411,macrophage,T cell Zone
2413,18810,85419,Naive B cell,B cell Zone
2414,20500,85415,unknown,T cell Zone
2415,22013,85414,Naive B cell,T cell Zone
2416,19624,85390,Memory B cell,B cell Zone
2417,19481,85393,CD4 T cell,B cell Zone
2418,19878,85389,Memory B cell,B cell Zone
2419,20015,85385,Memory B cell,B cell Zone
2420,20880,85398,macrophage,T cell Zone
2421,22321,85437,macrophage,T cell Zone
2422,18866,85406,Naive B cell,B cell Zone
2423,20644,85408,follicular dendritic cell,T cell Zone
2424,18766,85380,Memory B cell,B cell Zone
2425,18922,85373,CD4 T cell,B cell Zone
2426,19373,85408,macrophage,B cell Zone
2427,21500,85401,unknown,T cell Zone
2428,22151,85404,pericyte,T cell Zone
2429,18344,85389,Memory B cell,B cell Zone
2430,20306,85394,unknown,B cell Zone
2431,20162,85368,Memory B cell,B cell Zone
2432,18232,85385,unknown,B cell Zone
2433,19288,85396,Memory B cell,B cell Zone
2434,20233,85377,Memory B cell,B cell Zone
2435,18289,85372,CD4 T cell,B cell Zone
2436,19413,85378,Memory B cell,B cell Zone
2437,18588,85373,unknown,B cell Zone
2438,21812,85386,CD4 T cell,T cell Zone
2439,21999,85379,CD4 T cell,T cell Zone
2440,20061,85379,unknown,B cell Zone
2441,18680,85382,unknown,B cell Zone
2442,21877,85374,unknown,T cell Zone
2443,19574,85409,Memory B cell,B cell Zone
2444,20955,85374,T-zone reticular cell,T cell Zone
2445,18877,85353,Naive B cell,B cell Zone
2446,22066,85358,unknown,T cell Zone
2447,18168,85350,unknown,B cell Zone
2448,18501,85373,CD4 T cell,B cell Zone
2449,19533,85348,macrophage,B cell Zone
2450,20575,85376,macrophage,T cell Zone
2451,22239,85371,unknown,T cell Zone
2452,19775,85377,macrophage,B cell Zone
2453,18409,85345,Memory B cell,B cell Zone
2454,18531,85321,CD4 T cell,B cell Zone
2455,21030,85319,follicular dendritic cell,T cell Zone
2456,21953,85345,plasma cell,T cell Zone
2457,22199,85376,unknown,T cell Zone
2458,19146,85392,Memory B cell,B cell Zone
2459,20437,85320,macrophage,B cell Zone
2460,20779,85366,macrophage,T cell Zone
2461,21170,85343,NK cell,T cell Zone
2462,18737,85303,Memory B cell,B cell Zone
2463,19141,85343,CD4 T cell,B cell Zone
2464,19730,85332,Memory B cell,B cell Zone
2465,18484,85329,Memory B cell,B cell Zone
2466,22159,85313,pericyte,T cell Zone
2467,22133,85312,pericyte,T cell Zone
2468,20109,85340,Memory B cell,B cell Zone
2469,20843,85340,CD4 T cell,T cell Zone
2470,18746,85355,unknown,B cell Zone
2471,19271,85317,interferon-stimulated cell,B cell Zone
2472,21031,85379,plasma cell,T cell Zone
2473,21671,85323,macrophage,T cell Zone
2474,19641,85336,CD4 T cell,B cell Zone
2475,21318,85347,plasma cell,T cell Zone
2476,21458,85311,NK cell,T cell Zone
2477,21515,85358,T-zone reticular cell,T cell Zone
2478,22301,85331,T-zone reticular cell,T cell Zone
2479,20253,85364,Naive B cell,B cell Zone
2480,20345,85352,unknown,B cell Zone
2481,22024,85371,unknown,T cell Zone
2482,18089,85323,Memory B cell,B cell Zone
2483,18809,85372,Memory B cell,B cell Zone
2484,19207,85319,Memory B cell,B cell Zone
2485,19353,85361,Memory B cell,B cell Zone
2486,20554,85379,Memory B cell,T cell Zone
2487,18207,85312,Naive B cell,B cell Zone
2488,20369,85318,macrophage,B cell Zone
2489,20716,85339,macrophage,T cell Zone
2490,18664,85335,Memory B cell,B cell Zone
2491,21747,85343,T-zone reticular cell,T cell Zone
2492,21900,85368,endothelial cell,T cell Zone
2493,19283,85378,Memory B cell,B cell Zone
2494,20136,85298,Memory B cell,B cell Zone
2495,18629,85290,Memory B cell,B cell Zone
2496,19929,85335,Memory B cell,B cell Zone
2497,19452,85327,interferon-stimulated cell,B cell Zone
2498,21041,85323,Memory B cell,T cell Zone
2499,20047,85326,CD4 T cell,B cell Zone
2500,21183,85374,follicular dendritic cell,T cell Zone
2501,18329,85324,Memory B cell,B cell Zone
2502,19241,85364,CD4 T cell,B cell Zone
2503,22141,85334,unknown,T cell Zone
2504,18579,85320,unknown,B cell Zone
2505,20631,85346,macrophage,T cell Zone
2506,18424,85354,unknown,B cell Zone
2507,19281,85318,unknown,B cell Zone
2508,20245,85307,Memory B cell,B cell Zone
2509,20798,85320,CD4 T cell,T cell Zone
2510,22299,85338,NK cell,T cell Zone
2511,21600,85274,unknown,T cell Zone
2512,22475,87759,plasma cell,Medulla
2513,22458,87614,plasma cell,Medulla
2514,22599,87619,pericyte,Medulla
2515,22508,87570,pericyte,Medulla
2516,22427,87555,pericyte,Medulla
2517,22714,87579,plasma cell,Medulla
2518,22729,87546,plasma cell,Medulla
2519,22367,87486,plasma cell,Medulla
2520,22725,87488,plasma cell,Medulla
2521,22820,87508,plasma cell,Medulla
2522,22604,87483,plasma cell,Medulla
2523,22524,87475,T-zone reticular cell,Medulla
2524,22828,87455,unknown,T cell Zone
2525,22649,87458,dendritic cell,Medulla
2526,22951,87449,follicular dendritic cell,T cell Zone
2527,22414,87428,plasma cell,Medulla
2528,22686,87425,unknown,Medulla
2529,23032,87422,unknown,T cell Zone
2530,22486,87410,plasma cell,Medulla
2531,22602,87421,unknown,Medulla
2532,22556,87394,plasma cell,Medulla
2533,22860,87393,Memory B cell,T cell Zone
2534,22773,87408,endothelial cell,Medulla
2535,22935,87398,CD4 T cell,T cell Zone
2536,23093,87401,follicular dendritic cell,T cell Zone
2537,22634,87401,unknown,Medulla
2538,23017,87365,Memory B cell,T cell Zone
2539,22343,87386,plasma cell,Medulla
2540,22984,87348,interferon-stimulated cell,T cell Zone
2541,22641,87357,plasma cell,Medulla
2542,22444,87334,macrophage,Medulla
2543,22768,87338,unknown,Medulla
2544,22891,87353,unknown,T cell Zone
2545,22698,87332,plasma cell,Medulla
2546,22917,87332,CD4 T cell,T cell Zone
2547,23100,87327,CD4 T cell,T cell Zone
2548,22616,87298,plasma cell,Medulla
2549,22557,87312,unknown,Medulla
2550,23049,87278,follicular dendritic cell,T cell Zone
2551,23154,87275,macrophage,T cell Zone
2552,22818,87266,Naive B cell,T cell Zone
2553,22908,87262,unknown,T cell Zone
2554,22971,87262,unknown,T cell Zone
2555,23013,87250,Memory B cell,T cell Zone
2556,23242,87253,unknown,T cell Zone
2557,22435,87203,plasma cell,Medulla
2558,23209,87196,dendritic cell,T cell Zone
2559,22849,87194,unknown,T cell Zone
2560,23142,87209,endothelial cell,T cell Zone
2561,22448,87190,T-zone reticular cell,Medulla
2562,23280,87192,unknown,T cell Zone
2563,22903,87167,Memory B cell,T cell Zone
2564,22995,87198,Memory B cell,T cell Zone
2565,22982,87159,interferon-stimulated cell,T cell Zone
2566,22411,87116,plasma cell,Medulla
2567,23334,87155,T-zone reticular cell,T cell Zone
2568,23153,87132,unknown,T cell Zone
2569,22627,87114,endothelial cell,Medulla
2570,23006,87097,unknown,T cell Zone
2571,23075,87098,unknown,T cell Zone
2572,22858,87089,plasma cell,T cell Zone
2573,22932,87105,unknown,T cell Zone
2574,22540,87105,plasma cell,Medulla
2575,23437,87095,follicular dendritic cell,T cell Zone
2576,23312,87054,endothelial cell,T cell Zone
2577,23524,87075,CD4 T cell,T cell Zone
2578,22681,87074,unknown,Medulla
2579,22946,87070,GC B LZ,T cell Zone
2580,23200,87048,unknown,T cell Zone
2581,22574,87013,plasma cell,T cell Zone
2582,22577,87064,unknown,Medulla
2583,22908,87038,unknown,T cell Zone
2584,23259,87030,unknown,T cell Zone
2585,23362,87013,T-zone reticular cell,T cell Zone
2586,23475,87008,dendritic cell,T cell Zone
2587,22967,86995,unknown,T cell Zone
2588,22378,87016,macrophage,Medulla
2589,23428,86976,T-zone reticular cell,T cell Zone
2590,23611,86967,T-zone reticular cell,T cell Zone
2591,22457,86968,plasma cell,Medulla
2592,23240,86970,endothelial cell,T cell Zone
2593,23696,86913,macrophage,T cell Zone
2594,22825,86970,unknown,T cell Zone
2595,23277,86941,Memory B cell,T cell Zone
2596,23397,86915,unknown,T cell Zone
2597,23206,86920,T-zone reticular cell,T cell Zone
2598,22838,86926,CD4 T cell,T cell Zone
2599,23338,86911,dendritic cell,T cell Zone
2600,22520,86914,endothelial cell,T cell Zone
2601,23147,86919,T-zone reticular cell,T cell Zone
2602,22378,86874,plasma cell,Medulla
2603,22866,86913,unknown,T cell Zone
2604,23066,86884,endothelial cell,T cell Zone
2605,23540,86864,pericyte,T cell Zone
2606,23800,86887,follicular dendritic cell,T cell Zone
2607,23252,86866,unknown,T cell Zone
2608,22771,86877,CD4 T cell,T cell Zone
2609,23327,86846,T-zone reticular cell,T cell Zone
2610,23150,86866,unknown,T cell Zone
2611,22437,86834,endothelial cell,Medulla
2612,22845,86859,Memory B cell,T cell Zone
2613,22916,86846,interferon-stimulated cell,T cell Zone
2614,22383,86818,endothelial cell,Medulla
2615,23426,86839,pericyte,T cell Zone
2616,23581,86843,pericyte,T cell Zone
2617,23119,86824,macrophage,T cell Zone
2618,23655,86827,T-zone reticular cell,T cell Zone
2619,22803,86831,follicular dendritic cell,T cell Zone
2620,23780,86834,Naive B cell,T cell Zone
2621,23179,86822,macrophage,T cell Zone
2622,23551,86778,pericyte,T cell Zone
2623,23256,86794,unknown,T cell Zone
2624,22740,86821,Memory B cell,T cell Zone
2625,22855,86807,CD4 T cell,T cell Zone
2626,23864,86795,T-zone reticular cell,T cell Zone
2627,23044,86780,endothelial cell,T cell Zone
2628,22625,86755,Memory B cell,T cell Zone
2629,23386,86769,pericyte,T cell Zone
2630,23672,86770,CD4 T cell,T cell Zone
2631,22719,86775,unknown,T cell Zone
2632,22806,86767,unknown,T cell Zone
2633,23795,86758,macrophage,T cell Zone
2634,22750,86753,Memory B cell,T cell Zone
2635,22865,86744,CD4 T cell,T cell Zone
2636,23729,86764,unknown,T cell Zone
2637,23612,86748,CD4 T cell,T cell Zone
2638,23189,86735,follicular dendritic cell,T cell Zone
2639,23980,86696,T-zone reticular cell,T cell Zone
2640,23077,86719,T-zone reticular cell,T cell Zone
2641,23271,86699,pericyte,T cell Zone
2642,23869,86717,T-zone reticular cell,T cell Zone
2643,23703,86705,T-zone reticular cell,T cell Zone
2644,22803,86710,CD4 T cell,T cell Zone
2645,22653,86682,macrophage,T cell Zone
2646,23773,86716,unknown,T cell Zone
2647,22923,86662,endothelial cell,T cell Zone
2648,23643,86708,unknown,T cell Zone
2649,22702,86698,Memory B cell,T cell Zone
2650,22745,86689,unknown,T cell Zone
2651,23158,86689,unknown,T cell Zone
2652,22865,86684,CD4 T cell,T cell Zone
2653,23543,86670,T-zone reticular cell,T cell Zone
2654,23671,86664,CD4 T cell,T cell Zone
2655,23856,86671,pericyte,T cell Zone
2656,23756,86657,follicular dendritic cell,T cell Zone
2657,23098,86661,Naive B cell,T cell Zone
2658,23859,86627,pericyte,T cell Zone
2659,22810,86640,macrophage,T cell Zone
2660,23426,86644,pericyte,T cell Zone
2661,22582,86627,macrophage,T cell Zone
2662,23553,86613,macrophage,T cell Zone
2663,23163,86633,unknown,T cell Zone
2664,24062,86600,macrophage,T cell Zone
2665,23091,86615,Memory B cell,T cell Zone
2666,23489,86612,dendritic cell,T cell Zone
2667,22696,86599,unknown,T cell Zone
2668,23634,86609,macrophage,T cell Zone
2669,24127,86612,T-zone reticular cell,T cell Zone
2670,23015,86620,macrophage,T cell Zone
2671,23691,86594,T-zone reticular cell,T cell Zone
2672,23199,86599,pericyte,T cell Zone
2673,22411,86597,unknown,T cell Zone
2674,23768,86591,pericyte,T cell Zone
2675,23591,86569,CD4 T cell,T cell Zone
2676,23455,86549,CD8 T cell,T cell Zone
2677,24178,86574,T-zone reticular cell,T cell Zone
2678,22968,86555,macrophage,T cell Zone
2679,23052,86562,macrophage,T cell Zone
2680,23138,86558,Naive B cell,T cell Zone
2681,23926,86551,pericyte,T cell Zone
2682,22547,86542,Memory B cell,T cell Zone
2683,22470,86546,CD4 T cell,T cell Zone
2684,22613,86530,CD8 T cell,T cell Zone
2685,23380,86541,CD4 T cell,T cell Zone
2686,24028,86533,T-zone reticular cell,T cell Zone
2687,23744,86525,CD4 T cell,T cell Zone
2688,24166,86507,T-zone reticular cell,T cell Zone
2689,23963,86517,Naive B cell,T cell Zone
2690,23526,86524,CD4 T cell,T cell Zone
2691,23673,86518,pericyte,T cell Zone
2692,23062,86484,macrophage,T cell Zone
2693,23178,86498,macrophage,T cell Zone
2694,22661,86477,dendritic cell,T cell Zone
2695,22724,86493,plasma cell,T cell Zone
2696,24086,86500,unknown,T cell Zone
2697,23331,86481,unknown,T cell Zone
2698,23595,86471,T-zone reticular cell,T cell Zone
2699,24287,86497,CD4 T cell,T cell Zone
2700,23250,86489,unknown,T cell Zone
2701,23287,86469,CD4 T cell,T cell Zone
2702,23451,86459,T-zone reticular cell,T cell Zone
2703,22500,86453,Memory B cell,T cell Zone
2704,24068,86464,unknown,T cell Zone
2705,22577,86460,Memory B cell,T cell Zone
2706,23688,86455,pericyte,T cell Zone
2707,23766,86458,pericyte,T cell Zone
2708,23543,86436,unknown,T cell Zone
2709,24240,86445,CD4 T cell,T cell Zone
2710,23971,86449,macrophage,T cell Zone
2711,22889,86453,T-zone reticular cell,T cell Zone
2712,23859,86447,unknown,T cell Zone
2713,23135,86440,macrophage,T cell Zone
2714,24345,86427,T-zone reticular cell,T cell Zone
2715,23031,86439,CD4 T cell,T cell Zone
2716,24291,86420,CD4 T cell,T cell Zone
2717,22964,86419,macrophage,T cell Zone
2718,23621,86424,T-zone reticular cell,T cell Zone
2719,24149,86422,T-zone reticular cell,T cell Zone
2720,23223,86410,unknown,T cell Zone
2721,22875,86409,pericyte,T cell Zone
2722,23819,86411,Memory B cell,T cell Zone
2723,23175,86432,unknown,T cell Zone
2724,24045,86418,CD4 T cell,T cell Zone
2725,23323,86407,CD4 T cell,T cell Zone
2726,23703,86401,pericyte,T cell Zone
2727,23959,86386,unknown,T cell Zone
2728,24106,86409,unknown,T cell Zone
2729,23077,86394,follicular dendritic cell,T cell Zone
2730,22415,86350,CD4 T cell,T cell Zone
2731,24424,86390,unknown,T cell Zone
2732,23144,86376,macrophage,T cell Zone
2733,23476,86369,macrophage,T cell Zone
